date,total,post_id
2021-12-08,0,0
2021-12-09,9,0
2021-12-10,15,0
2021-12-11,15,0
2021-12-12,15,0
2021-12-13,15,0
2021-12-14,15,0
2021-12-15,15,0
2021-12-16,15,0
2021-12-17,15,0
2021-12-18,15,0
2021-12-19,15,0
2021-12-20,15,0
2021-12-21,15,0
2021-12-22,15,0
2021-12-23,15,0
2021-12-24,15,0
2021-12-25,15,0
2021-12-26,15,0
2021-12-27,15,0
2021-12-28,15,0
2021-12-29,15,0
2021-12-30,15,0
2021-12-31,15,0
2022-01-01,15,0
2022-01-02,15,0
2022-01-03,15,0
2022-01-04,15,0
2022-01-05,15,0
2022-01-06,15,0
2022-01-07,16,0
2022-01-08,16,0
2022-01-09,16,0
2022-01-10,16,0
2022-01-11,16,0
2022-01-12,16,0
2022-01-13,16,0
2022-01-14,16,0
2022-01-15,16,0
2022-01-16,16,0
2022-01-17,16,0
2022-01-18,16,0
2022-01-19,16,0
2022-01-20,16,0
2022-01-21,16,0
2022-01-22,16,0
2022-01-23,16,0
2022-01-24,16,0
2022-01-25,16,0
2022-01-26,16,0
2022-01-27,16,0
2022-01-28,21,0
2022-01-29,23,0
2022-01-30,23,0
2022-01-31,23,0
2022-02-01,24,0
2022-02-02,29,0
2022-02-03,38,0
2022-02-04,787,0
2022-02-05,1188,0
2022-02-06,1365,0
2022-02-07,1506,0
2022-02-08,1681,0
2022-02-09,1790,0
2022-02-10,1876,0
2022-02-11,2006,0
2022-02-12,2163,0
2022-02-13,2255,0
2022-02-14,2398,0
2022-02-15,2505,0
2022-02-16,2619,0
2022-02-17,2670,0
2022-02-18,2780,0
2022-02-19,2852,0
2022-02-20,2882,0
2022-02-21,2925,0
2022-02-22,2989,0
2022-02-23,3066,0
2022-02-24,3161,0
2022-02-25,3192,0
2022-02-26,3230,0
2022-02-27,3261,0
2022-02-28,3281,0
2022-03-01,3311,0
2022-03-02,3365,0
2022-03-03,3400,0
2022-03-04,3466,0
2022-03-05,3505,0
2022-03-06,3540,0
2022-03-07,3588,0
2022-03-08,3621,0
2022-03-09,3650,0
2022-03-10,3672,0
2022-03-11,3744,0
2022-03-12,3797,0
2022-03-13,3820,0
2022-03-14,3843,0
2022-03-15,3881,0
2022-03-16,3935,0
2022-03-17,3957,0
2022-03-18,4013,0
2022-03-19,4060,0
2022-03-20,4077,0
2022-03-21,4106,0
2022-03-22,4126,0
2022-03-23,4155,0
2022-03-24,4161,0
2022-03-25,4219,0
2022-03-26,4249,0
2022-03-27,4270,0
2022-03-28,4311,0
2022-03-29,4358,0
2022-03-30,4396,0
2022-03-31,4429,0
2022-04-01,4548,0
2022-04-02,4581,0
2022-04-03,4590,0
2022-04-04,4614,0
2022-04-05,4642,0
2022-04-06,4691,0
2022-04-07,4714,0
2022-04-08,4778,0
2022-04-09,4837,0
2022-04-10,4886,0
2022-04-11,4912,0
2022-04-12,4959,0
2022-04-13,4998,0
2022-04-14,5075,0
2022-04-15,5129,0
2022-04-16,5156,0
2022-04-17,5182,0
2022-04-18,5220,0
2022-04-19,5247,0
2022-04-20,5270,0
2022-04-21,5313,0
2022-04-22,5349,0
2022-04-23,5367,0
2022-04-24,5386,0
2022-04-25,5616,0
2022-04-26,5860,0
2022-04-27,5990,0
2022-04-28,6070,0
2022-04-29,6126,0
2022-04-30,6166,0
2022-05-01,6210,0
2022-05-02,6286,0
2022-05-03,6317,0
2022-05-04,6367,0
2022-05-05,6407,0
2022-05-06,6459,0
2022-05-07,6479,0
2022-05-08,6510,0
2022-05-09,6538,0
2022-05-10,6589,0
2022-05-11,6635,0
2022-05-12,6703,0
2022-05-13,6751,0
2022-05-14,6782,0
2022-05-15,6822,0
2022-05-16,6884,0
2022-05-17,6960,0
2022-05-18,7003,0
2022-05-19,7037,0
2022-05-20,7076,0
2022-05-21,7104,0
2022-05-22,7144,0
2022-05-23,7182,0
2022-05-24,7206,0
2022-05-25,7274,0
2022-05-26,7297,0
2022-05-27,7317,0
2022-05-28,7343,0
2022-05-29,7370,0
2022-05-30,7397,0
2022-05-31,7413,0
2022-06-01,7466,0
2022-06-02,7487,0
2022-06-03,7509,0
2022-06-04,7532,0
2022-06-05,7545,0
2022-06-06,7559,0
2022-06-07,7578,0
2022-06-08,7591,0
2022-06-09,7625,0
2022-06-10,7652,0
2022-06-11,7668,0
2022-06-12,7689,0
2022-06-13,7716,0
2022-06-14,7754,0
2022-06-15,7816,0
2022-06-16,7897,0
2022-06-17,8089,0
2022-06-18,8201,0
2022-06-19,8260,0
2022-06-20,8340,0
2022-06-21,8406,0
2022-06-22,8491,0
2022-06-23,8597,0
2022-06-24,8731,0
2022-06-25,8807,0
2022-06-26,8857,0
2022-06-27,8968,0
2022-06-28,10772,0
2022-06-29,16010,0
2022-06-30,22073,0
2022-07-01,26559,0
2022-07-02,29494,0
2022-07-03,31976,0
2022-07-04,33988,0
2022-07-05,35912,0
2022-07-06,38363,0
2022-07-07,40458,0
2022-07-08,42145,0
2022-07-09,43589,0
2022-07-10,44603,0
2022-07-11,46060,0
2022-07-12,47709,0
2022-07-13,49403,0
2022-07-14,51324,0
2022-07-15,52926,0
2022-07-16,54839,0
2022-07-17,56119,0
2022-07-18,57396,0
2022-07-19,58758,0
2022-07-20,60021,0
2022-07-21,61152,0
2022-07-22,62526,0
2022-07-23,63586,0
2022-07-24,64537,0
2022-07-25,65539,0
2022-07-26,66610,0
2022-07-27,67743,0
2022-07-28,68808,0
2022-07-29,69927,0
2022-07-30,70702,0
2022-07-31,71562,0
2022-08-01,72411,0
2022-08-02,73321,0
2022-08-03,74475,0
2022-08-04,75364,0
2022-08-05,76362,0
2022-08-06,77100,0
2022-08-07,77826,0
2022-08-08,78559,0
2022-08-09,79380,0
2022-08-10,80283,0
2022-08-11,81383,0
2022-08-12,82161,0
2022-08-13,82840,0
2022-08-14,83525,0
2022-08-15,84163,0
2022-08-16,84854,0
2022-08-17,85503,0
2022-08-18,86369,0
2022-08-19,87264,0
2022-08-20,87967,0
2022-08-21,88653,0
2022-08-22,89297,0
2022-08-23,90031,0
2022-08-24,90894,0
2022-08-25,91825,0
2022-08-26,92943,0
2022-08-27,93739,0
2022-08-28,94482,0
2022-08-29,95377,0
2022-08-30,96472,0
2022-08-31,97667,0
2022-09-01,98940,0
2022-09-02,100179,0
2022-09-03,101001,0
2022-09-04,101891,0
2022-09-05,102692,0
2022-09-06,103561,0
2022-09-07,104560,0
2022-09-08,105663,0
2022-09-09,106564,0
2022-09-10,107272,0
2022-09-11,108022,0
2022-09-12,108901,0
2022-09-13,109743,0
2022-09-14,110573,0
2022-09-15,111562,0
2022-09-16,112366,0
2022-09-17,112973,0
2022-09-18,113506,0
2022-09-19,114298,0
2022-09-20,114962,0
2022-09-21,115852,0
2022-09-22,116591,0
2022-09-23,117360,0
2022-09-24,117982,0
2022-09-25,118492,0
2022-09-26,119153,0
2022-09-27,120062,0
2022-09-28,120942,0
2022-09-29,121847,0
2022-09-30,122749,0
2022-10-01,123517,0
2022-10-02,124296,0
2022-10-03,125059,0
2022-10-04,126413,0
2022-10-05,127903,0
2022-10-06,128956,0
2022-10-07,129852,0
2022-10-08,130604,0
2022-10-09,131313,0
2022-10-10,132054,0
2022-10-11,132884,0
2022-10-12,133661,0
2022-10-13,134384,0
2022-10-14,135099,0
2022-10-15,135736,0
2022-10-16,136399,0
2022-10-17,137016,0
2022-10-18,137723,0
2022-10-19,138363,0
2022-10-20,139066,0
2022-10-21,139913,0
2022-10-22,140530,0
2022-10-23,141103,0
2022-10-24,141752,0
2022-10-25,142437,0
2022-10-26,143436,0
2022-10-27,145602,0
2022-10-28,151857,0
2022-10-29,157144,0
2022-10-30,161241,0
2022-10-31,166375,0
2022-11-01,172252,0
2022-11-02,178570,0
2022-11-03,184534,0
2022-11-04,194499,0
2022-11-05,206161,0
2022-11-06,217344,0
2022-11-07,227578,0
2022-11-08,237737,0
2022-11-09,246820,0
2022-11-10,257685,0
2022-11-11,271974,0
2022-11-12,282748,0
2022-11-13,292833,0
2022-11-14,303967,0
2022-11-15,314169,0
2022-11-16,325236,0
2022-11-17,337081,0
2022-11-18,360012,0
2022-11-19,375466,0
2022-11-20,389497,0
2022-11-21,403966,0
2022-11-22,418402,0
2022-11-23,432307,0
2022-11-24,444845,0
2022-11-25,455895,0
2022-11-26,465315,0
2022-11-27,474690,0
2022-11-28,484720,0
2022-11-29,494855,0
2022-11-30,504757,0
2022-12-01,514961,0
2022-12-02,525550,0
2022-12-03,534482,0
2022-12-04,542421,0
2022-12-05,550758,0
2022-12-06,558772,0
2022-12-07,566424,0
2022-12-08,574183,0
2022-12-09,581551,0
2022-12-10,587891,0
2022-12-11,594364,0
2022-12-12,601412,0
2022-12-13,608400,0
2022-12-14,615643,0
2022-12-15,622337,0
2022-12-16,630094,0
2022-12-17,636884,0
2022-12-18,647682,0
