date,total,post_id
2024-09-30T23:00:00+00:00,7914087,7914087
2024-10-01T00:00:00+00:00,7915671,7917780
2024-10-01T01:00:00+00:00,7917482,7917784
2024-10-01T02:00:00+00:00,7919332,7919997
2024-10-01T03:00:00+00:00,7921427,7921427
2024-10-01T04:00:00+00:00,7923563,7923563
2024-10-01T05:00:00+00:00,7925267,7925267
2024-10-01T06:00:00+00:00,7926873,7928066
2024-10-01T07:00:00+00:00,7928141,7928141
2024-10-01T08:00:00+00:00,7928945,7928945
2024-10-01T09:00:00+00:00,7929630,7929630
2024-10-01T10:00:00+00:00,7930420,7930420
2024-10-01T11:00:00+00:00,7931345,7931345
2024-10-01T12:00:00+00:00,7932544,7932544
